host	site_group	service	visible_email	visible_phone	whatsapp_target	form_target	ownership	match_to_main	issue	recommendation
mavash.net	A	אוטומציה עסקית / n8n / WhatsApp Business		(כפתור בלבד, לא כטקסט)	972544223911	webhook.mavash.net mentioned	Mavash sales	MISMATCH	HTTPS 200. אין mailto/email/טלפון גלוי בטקסט; CTA WhatsApp ל-054-422-3911 עם prefill "היי ראובן... אוטומציה". LinkedIn/IG/FB לא נמצאו ב-HTML.	אם יאושר פרופיל IT/AI: להציג it@mavash.net ו-054-422-3911 ב-footer. אם יאושר תמיכה: לא להחליף ל-054-806-0140 בלי אישור. לא לגעת לפני אישור.
www.mavash.net	A	זהה ל-apex (redirect)		(כפתור בלבד)	972544223911	webhook.mavash.net mentioned	Mavash sales	MISMATCH	HTTPS 200, redirect ל-https://mavash.net/. אותו תוכן.	לא לטפל בנפרד; יורש את apex אחרי אישור.
ai.mavash.net	A	בניית אתרים / סוכני AI	it@mavash.net		972544223911		Mavash IT/AI	MATCH	HTTPS 200. email IT גלוי; טלפון לא מוצג כטקסט; WA 054-422-3911 prefill "האתר האישי".	מועמד טוב לפרופיל IT/AI. להוסיף טלפון גלוי רק אם יאושר. לא לשנות לפני אישור.
master.mavash.net	A	סוכני AI / אוטומציה	it@mavash.net		972544223911		Mavash IT/AI	MATCH	HTTPS 200. זהה כמעט ל-ai (email IT, WA 054-422-3911, prefill אישי).	לאחד עם ai אחרי אישור אותו פרופיל. לא לשנות לפני אישור.
claw.mavash.net	A	Hermes / OpenClaw / אוטומציה	it@mavash.net	054-422-3911	972544223911		Mavash IT/AI	MATCH	HTTPS 200. mailto+טלפון+WA תואמים 054-422-3911; JSON-LD ProfessionalService עם it@ ו-+972544223911; prefill "אוטומציה לעסק".	השלם ביותר בקבוצה A. לשמור כתבנית אם יאושר פרופיל IT/AI. לא לשנות לפני אישור.
app.mavash.net	A	בוטים למקצועות חופשיים	info@mavash.net	054-422-3911 + 054-806-0140	972548060140	newsite.mavash.net/webhook/.../chat	Mavash mixed	MISMATCH	HTTPS 200. WA/CTA 054-806-0140; tel גלוי 054-422-3911; email info@. שני מספרים באותו דף. טופס/צ'אט ל-newsite (לא נשלח).	לא לאחד אוטומטית. לבחור פרופיל אחד (מכירות IT מול תמיכה) באישור מפורש. לא לשנות endpoint טופס. לא לשנות לפני אישור.
audit.mavash.net	A	WebCheck SEO/AI	it@mavash.net		972544223911		Mavash IT/AI	MATCH	HTTPS 200. email IT; אין טלפון גלוי; WA 054-422-3911 prefill על בניית אתר/סוכן AI.	אם יאושר IT/AI: להוסיף טלפון גלוי. לא לשנות לפני אישור.
support.mavash.net	B	סידור Gmail / תמיכה	info@mavash.net	054-806-0140	972548060140	newsite.mavash.net/webhook/.../chat	Mavash support candidate	MATCH	HTTPS 200. info@ + 054-806-0140 + WA תואמים; prefill "שלום,". צ'אט ל-newsite (לא נשלח).	מועמד לפרופיל תמיכה. לא להחליף ל-054-422-3911. לא לשנות לפני אישור.
shirati.mavash.net	C	צביעה מקצועית	it@mavash.net	054-422-3911	972544223911		Mavash dedicated (painting)	MISMATCH	HTTPS 200. עסק צביעה עם email IT (לא צביעה ייעודי). טלפון/WA 054-422-3911 תואמים זה לזה.	לא להחיל info@/תמיכה. לבחור: להשאיר IT או ליצור email ייעודי לצביעה. לא לשנות לפני אישור.
painting.mavash.net	C	צביעת דירות	info@mavash.net	054-422-3911	972544223911		Mavash dedicated (painting)	MISMATCH	HTTPS 200. email תמיכה/כללי + טלפון/WA של IT/אישי. prefill הצעת מחיר לצביעה.	email וטלפון מפרופילים שונים. לא להעתיק מ-dogs/booking. לא לשנות לפני אישור.
photo.mavash.net	C	צילום אירועים (ראובן מבשב)		054-422-3911	972544223911		Mavash personal/brand	MATCH	HTTPS 200. אין email; טלפון ו-WA 054-422-3911 תואמים; prefill צילום אירוע.	מותג אישי/צילום. לא להחליף ל-info@ או 054-806-0140. אפשר reuben@ רק אם יאושר. לא לשנות לפני אישור.
sharon.mavash.net	C	צילום תדמית — שרון גבאי	sharongabay2@gmail.com	054-200-0300 (tel/JSON-LD)	(אין wa.me ב-HTML)		CLIENT_SPECIFIC	CLIENT_SPECIFIC	אין DNS ציבורי (NXDOMAIN); HTML נמשך מ-Oracle:80. לקוח: שרון גבאי. FB/IG/LinkedIn של הלקוח. לא Mavash.	אין להחיל פרטי Mavash. לא לגעת בתוכן. DNS נפרד מהמשימה הזו.
dogs.mavash.net	C	מספרת כלבים Messi Dog		050-231-9199	972502319199		CLIENT_SPECIFIC	CLIENT_SPECIFIC	HTTPS 200. טלפון ו-WA תואמים 050-231-9199; prefill "שלום רמי...". אין email.	עסק ייעודי. לא להעתיק ל-Mavash ולא הפוך. לא לשנות.
booking.mavash.net	C	פדיקור ומניקור Forever		055-261-8740	אין wa.me	אין טופס ציבורי ברור	CLIENT_SPECIFIC	CLIENT_SPECIFIC	HTTPS 200. רק tel:0552618740. אין WhatsApp ב-HTML.	עסק ייעודי. לא להוסיף WA של Mavash. לא לשנות.
mizva.mavash.net	C	הכנה לבר מצווה	reuben@mavash.net	054-422-3911	972544223911		Mavash personal	MATCH	HTTPS 200. reuben@ + 054-422-3911 + WA תואמים; אין prefill.	מותג אישי. לא להחליף ל-it@/info@. לא לשנות לפני אישור.
paseo.mavash.net	C	מסעדת רופטופ פסאו		050-665-4943	אין		CLIENT_SPECIFIC	CLIENT_SPECIFIC	אין DNS ציבורי; HTML מ-Oracle:80. IG/FB של Paseo. מספר 050-665-4943 אינו בטבלת המועמדים.	אתר לקוח/עסק אחר. אין להחיל Mavash. לא לגעת. DNS נפרד.
mesibot.mavash.net	C	גילוי מסיבות				PRODUCT/SPA	MISSING	HTTPS 200. HTML קליל בלבד; ב-JS אין mailto/WA אמיתי (רק placeholders).	מוצר עצמאי. אין להוסיף footer Mavash בלי אישור שהמבקר לא יוטעה.
events.mavash.net	C	פלטפורמת אירועי Mavash	bitreuven@gmail.com		972544223911		Mavash product + personal gmail	MISMATCH	HTTPS 200. Gmail אישי גלוי; WA 054-422-3911; prefill על הפלטפורמה.	לא להשאיר Gmail שיווקי בלי אישור. מועמד ל-it@ או events@ אחרי אישור. לא לשנות לפני אישור.
story.mavash.net	C	סיפור הצעת נישואין				UNVERIFIED	UNVERIFIED	HTTPS 403 Vercel Security Checkpoint. לא ניתן לחלץ פרטי קשר.	לא לשנות. לחזור אחרי הסרת ה-challenge.
matcher.mavash.net	D	מנתח קבוצות וואטסאפ			972548060140	newsite.mavash.net/webhook/.../chat	Mavash product	MISMATCH	HTTPS 200. אין email/טלפון גלוי; WA תמיכה 054-806-0140; prefill על מסלולים. צ'אט newsite (לא נשלח).	מוצר. CTA מסחרי קיים דרך WA תמיכה. לא להחליף ל-054-422-3911 בלי אישור. לא לשנות טופס.
english.mavash.net	D	English Master 120			972544223911		Mavash product	MISSING	ציבורית 403; דרך Oracle HTTPS 200. אין email/טלפון גלוי; WA 054-422-3911 prefill קורס אנגלית.	מוצר לימוד. CTA WA מכירות IT/אישי. לא להוסיף footer כללי בלי אישור. לא לשנות לפני אישור.
studio.mavash.net	D	StudioFlow לצלמים				Mavash product (SPA)	MISSING	HTTPS 200. אפליקציה "טוען..."; אין פרטי קשר ב-HTML.	אין להוסיף footer שיווקי לאפליקציית מוצר בלי אישור.
tool.mavash.net	D	מדריך כלי AI			972544223911	webhook.mavash.net mentioned	Mavash content	MISMATCH	HTTPS 200. אין email/טלפון גלוי; WA 054-422-3911 prefill אוטומציה (זהה לאapex). /about מחזיר את תוכן mavash.net.	כלי תוכן. לא חובה CTA מסחרי. אם יאושר — אותו פרופיל כמו apex. לא לשנות לפני אישור.
webhook.mavash.net	D/E	בודק Webhook ציבורי			972548060140		Mavash tool + infra	MISMATCH	HTTPS 200. כלי ציבורי עם WA תמיכה 054-806-0140. גם תשתית.	לא footer מכירות IT. אם CTA — פרופיל תמיכה בלבד אחרי אישור. לא לשנות לפני אישור.
zmanim.mavash.net	D	זמני שבת				Mavash content	MISSING	HTTPS 200. אין פרטי קשר. fetch ל-newsite webhook/google-photos (לא טופס לידים).	אתר תוכן. אין להוסיף CTA מסחרי מלאכותי.
